rule_id,label,field,type,pattern,description
SCAN_01,310 - Scanning for Vulnerable Software,all,regex_decoded,\b(nmap|nikto|sqlmap|wpscan|nessus|openvas|acunetix|masscan|dirbuster|gobuster|ffuf|wfuzz|zaproxy)\b,Herramientas conocidas de escaneo o enumeracion.
SCAN_02,310 - Scanning for Vulnerable Software,request_http_request,regex_decoded,(nmaplowercheck|/cfide/administrator|/readme\.html|/license\.txt|/cgi-bin/),Rutas tipicas de enumeracion o comprobacion de software vulnerable.
IDM_01,153 - Input Data Manipulation,request_content_type,regex_decoded,(\.\.[\\/]|/etc/passwd|%00|wp-config\.php),Manipulacion de Content-Type con rutas o valores no esperados.
IDM_02,153 - Input Data Manipulation,all_raw,regex_raw,(%00|%25(00|2e|2f|5c)),Null byte o doble encoding orientado a manipulacion de entradas.
IDM_03,153 - Input Data Manipulation,all,regex_decoded,"(\$\{[^}]+\}|\{\{[^}]+\}\}|0x[0-9a-f]{12,})",Patrones de manipulacion generica: template injection o valores hexadecimales largos.
VERB_01,274 - HTTP Verb Tampering,request_http_method,method_set,TRACE|TRACK|DEBUG|PROPFIND|MKCOL|COPY|MOVE|LOCK|UNLOCK|PATCH|CONNECT,Uso de metodos HTTP poco habituales o potencialmente peligrosos.
VERB_02,274 - HTTP Verb Tampering,request_http_method,method_uncommon,not in GET|POST|HEAD|OPTIONS,Metodo HTTP no comun observado en la peticion.
FAKE_01,194 - Fake the Source of Data,request_http_request,regex_decoded,(https?://|www\.google\.com|file://),URL externa incrustada dentro de la ruta solicitada.
FAKE_02,194 - Fake the Source of Data,request_origin,regex_decoded,(null|localhost|127\.0\.0\.1|file://|javascript:),Origin sospechoso o no esperable.
FAKE_03,194 - Fake the Source of Data,request_referer,regex_decoded,(localhost|127\.0\.0\.1|file://|javascript:),Referer sospechoso o falsificado.
HRS_01,34 - HTTP Response Splitting,all_raw,regex_raw,%0d%0a|%0a%0d|%0d|%0a,Secuencias CR/LF codificadas en la peticion.
HRS_02,34 - HTTP Response Splitting,all,regex_decoded,(set-cookie:|location:|content-length:|content-type:),Cabeceras inyectadas tras decodificacion.
HSMUG_01,33 - HTTP Request Smuggling,request_body,regex_raw,%0d%0a|%0a|%0d,CR/LF codificado dentro del cuerpo de una peticion POST.
HSMUG_02,33 - HTTP Request Smuggling,all,regex_decoded,transfer-encoding\s*:\s*chunked|content-length\s*:,Cabeceras asociadas a desincronizacion HTTP.
PROTO_01,272 - Protocol Manipulation,all,regex_decoded,(\.svn/wc\.db|\.svn/entries|\.git/head|\.git/config),Acceso a metadatos internos que alteran el uso esperado del protocolo/aplicacion.
PROTO_02,272 - Protocol Manipulation,all,regex_decoded,(b4ckdoor|backdoor|127\.0\.0\.1|remote_syslog|remotesyslogsupported),Indicadores de manipulacion de protocolo o configuracion remota.
PROTO_03,272 - Protocol Manipulation,request_http_protocol,regex_decoded,http/(0\.9|1\.2|2\.0),Versiones HTTP no esperadas en el contexto del dataset.
